category,class,image,gt_index,path
small_miss,TP,0900220012200316143833772HJ_1294208900_482794800,5,figures/failure_cases/small_miss/01_0900220012200316143833772HJ_1294208900_482794800_gt5.jpg
small_miss,TP,09002200121901201534112552L_1295814800_482057000,0,figures/failure_cases/small_miss/02_09002200121901201534112552L_1295814800_482057000_gt0.jpg
small_miss,TP,09002200121901201346498812L_1295278400_482206300,3,figures/failure_cases/small_miss/03_09002200121901201346498812L_1295278400_482206300_gt3.jpg
small_miss,TP,0900220012200307153208436HJ_1296031800_484124700,1,figures/failure_cases/small_miss/04_0900220012200307153208436HJ_1296031800_484124700_gt1.jpg
small_miss,TP,0900220012200306153125640HG_1294330800_485084900,4,figures/failure_cases/small_miss/05_0900220012200306153125640HG_1294330800_485084900_gt4.jpg
small_miss,TC,0900220012200316105228994HJ_1294110100_483361500,3,figures/failure_cases/small_miss/06_0900220012200316105228994HJ_1294110100_483361500_gt3.jpg
small_miss,TP,09002200121901201514074962L_1295965800_482065200,2,figures/failure_cases/small_miss/07_09002200121901201514074962L_1295965800_482065200_gt2.jpg
small_miss,TP,09002200011601091209566738E_1294754800_483696000,1,figures/failure_cases/small_miss/08_09002200011601091209566738E_1294754800_483696000_gt1.jpg
nms_competition,TC,0100220000130820114033694J3_1294349400_482426300,3,figures/failure_cases/nms_competition/01_0100220000130820114033694J3_1294349400_482426300_gt3.jpg
nms_competition,TC,09002200011601101356197142L_1295631300_483450200,3,figures/failure_cases/nms_competition/02_09002200011601101356197142L_1295631300_483450200_gt3.jpg
nms_competition,TP,09002200121901201534112552L_1295814800_482057000,0,figures/failure_cases/nms_competition/03_09002200121901201534112552L_1295814800_482057000_gt0.jpg
nms_competition,TC,0900220012200316105228994HJ_1294110100_483361500,3,figures/failure_cases/nms_competition/04_0900220012200316105228994HJ_1294110100_483361500_gt3.jpg
nms_competition,TP,09002200121901201537583632L_1295945000_482063400,0,figures/failure_cases/nms_competition/05_09002200121901201537583632L_1295945000_482063400_gt0.jpg
nms_competition,TC,0900220012200316150325440HJ_1294206100_482864200,0,figures/failure_cases/nms_competition/06_0900220012200316150325440HJ_1294206100_482864200_gt0.jpg
nms_competition,TP,0900220012200313103134147HG_1294997800_482312500,1,figures/failure_cases/nms_competition/07_0900220012200313103134147HG_1294997800_482312500_gt1.jpg
nms_competition,TC,09002200011601101412330032L_1295547700_483447600,2,figures/failure_cases/nms_competition/08_09002200011601101412330032L_1295547700_483447600_gt2.jpg
localization_error,TP,0900220012200318102119318HJ_1295035900_482796000,6,figures/failure_cases/localization_error/01_0900220012200318102119318HJ_1295035900_482796000_gt6.jpg
localization_error,TP,0900220012200316143833772HJ_1294208900_482794800,5,figures/failure_cases/localization_error/02_0900220012200316143833772HJ_1294208900_482794800_gt5.jpg
localization_error,TP,09002200121901201346498812L_1295278400_482206300,3,figures/failure_cases/localization_error/03_09002200121901201346498812L_1295278400_482206300_gt3.jpg
localization_error,TP,0900220012200307142413721HJ_1295926600_483674100,0,figures/failure_cases/localization_error/04_0900220012200307142413721HJ_1295926600_483674100_gt0.jpg
localization_error,TP,0900220012200307153208436HJ_1296031800_484124700,1,figures/failure_cases/localization_error/05_0900220012200307153208436HJ_1296031800_484124700_gt1.jpg
localization_error,TC,0900220012200318122340914HG_1294835800_483212800,9,figures/failure_cases/localization_error/06_0900220012200318122340914HG_1294835800_483212800_gt9.jpg
localization_error,TP,0900220012200306153125640HG_1294330800_485084900,4,figures/failure_cases/localization_error/07_0900220012200306153125640HG_1294330800_485084900_gt4.jpg
localization_error,TP,0900220012200313093841960HG_1296755400_482362900,4,figures/failure_cases/localization_error/08_0900220012200313093841960HG_1296755400_482362900_gt4.jpg
background_fp,LC,09002200121707081426522602I_1294582200_481572900,,figures/background_fp/LC/01_09002200121707081426522602I_1294582200_481572900.jpg
background_fp,LC,09002200122003061503213796G_1294528600_484400800,,figures/background_fp/LC/02_09002200122003061503213796G_1294528600_484400800.jpg
background_fp,LC,09002200121902031139268262L_1295596200_483298800,,figures/background_fp/LC/03_09002200121902031139268262L_1295596200_483298800.jpg
background_fp,LC,09002200122003161001101646G_1296050900_481062900,,figures/background_fp/LC/04_09002200122003161001101646G_1296050900_481062900.jpg
background_fp,LC,09002200121901231410434452L_1295283700_482961300,,figures/background_fp/LC/05_09002200121901231410434452L_1295283700_482961300.jpg
background_fp,LC,09002200121902251547493988O_1297931800_485062600,,figures/background_fp/LC/06_09002200121902251547493988O_1297931800_485062600.jpg
background_fp,LC,0900220012200307142413721HJ_1295926600_483674100,,figures/background_fp/LC/07_0900220012200307142413721HJ_1295926600_483674100.jpg
background_fp,LC,0900220012200306152600103HG_1294441000_485184400,,figures/background_fp/LC/08_0900220012200306152600103HG_1294441000_485184400.jpg
background_fp,TC,09002200121706251031299589S_1294285600_482185000,,figures/background_fp/TC/01_09002200121706251031299589S_1294285600_482185000.jpg
background_fp,TC,09002200121901211116162532Q_1295655000_482010700,,figures/background_fp/TC/02_09002200121901211116162532Q_1295655000_482010700.jpg
background_fp,TC,09002200121706251031299589S_1294285600_482185000,,figures/background_fp/TC/03_09002200121706251031299589S_1294285600_482185000.jpg
background_fp,TC,0900220012200316090612549HJ_1297293200_481785000,,figures/background_fp/TC/04_0900220012200316090612549HJ_1297293200_481785000.jpg
background_fp,TC,0900220012200317172006628HJ_1294877000_481277900,,figures/background_fp/TC/05_0900220012200317172006628HJ_1294877000_481277900.jpg
background_fp,TC,09002200121901211116162532Q_1295655000_482010700,,figures/background_fp/TC/06_09002200121901211116162532Q_1295655000_482010700.jpg
background_fp,TC,01002200001307281551000855B_1293168800_484995300,,figures/background_fp/TC/07_01002200001307281551000855B_1293168800_484995300.jpg
background_fp,TC,09002200121901231548497902L_1295240800_483010400,,figures/background_fp/TC/08_09002200121901231548497902L_1295240800_483010400.jpg
background_fp,AC,09002200121902241019038588K_1294223000_481902400,,figures/background_fp/AC/01_09002200121902241019038588K_1294223000_481902400.jpg
background_fp,AC,0900220012200306102545235HG_1293796400_485231400,,figures/background_fp/AC/02_0900220012200306102545235HG_1293796400_485231400.jpg
background_fp,AC,01002200001307241220165335B_1294663600_484649100,,figures/background_fp/AC/03_01002200001307241220165335B_1294663600_484649100.jpg
background_fp,AC,0900220012200306103450098HG_1293807800_485104400,,figures/background_fp/AC/04_0900220012200306103450098HG_1293807800_485104400.jpg
background_fp,AC,09002200121902241104527988O_1295944300_484526600,,figures/background_fp/AC/05_09002200121902241104527988O_1295944300_484526600.jpg
background_fp,AC,09002200121707021133543832Q_1296249000_482503300,,figures/background_fp/AC/06_09002200121707021133543832Q_1296249000_482503300.jpg
background_fp,AC,0900220012200314122712807HJ_1296632200_483395000,,figures/background_fp/AC/07_0900220012200314122712807HJ_1296632200_483395000.jpg
background_fp,AC,01002200001307281306328225B_1293762200_485360300,,figures/background_fp/AC/08_01002200001307281306328225B_1293762200_485360300.jpg
background_fp,P,09002200121902200946142212K_1295239400_481170000,,figures/background_fp/P/01_09002200121902200946142212K_1295239400_481170000.jpg
background_fp,P,01002200001307281654398485B_1293270500_485074200,,figures/background_fp/P/02_01002200001307281654398485B_1293270500_485074200.jpg
background_fp,P,09002200121706251031299589S_1294285600_482185000,,figures/background_fp/P/03_09002200121706251031299589S_1294285600_482185000.jpg
background_fp,P,09002200121902201410179042Q_1295063500_481772800,,figures/background_fp/P/04_09002200121902201410179042Q_1295063500_481772800.jpg
background_fp,P,09002200121707051459363092B_1294685000_482105900,,figures/background_fp/P/05_09002200121707051459363092B_1294685000_482105900.jpg
background_fp,P,09002200121706241205096559S_1294323500_482186800,,figures/background_fp/P/06_09002200121706241205096559S_1294323500_482186800.jpg
background_fp,P,09002200121902201121502577F_1294330000_482187800,,figures/background_fp/P/07_09002200121902201121502577F_1294330000_482187800.jpg
background_fp,P,09002200121902221307252858K_1294021500_481728400,,figures/background_fp/P/08_09002200121902221307252858K_1294021500_481728400.jpg
background_fp,MC,09002200011601091003273818E_1295362700_484101300,,figures/background_fp/MC/01_09002200011601091003273818E_1295362700_484101300.jpg
background_fp,MC,09002200121901211143302912L_1295375400_482014400,,figures/background_fp/MC/02_09002200121901211143302912L_1295375400_482014400.jpg
background_fp,MC,09002200121902201121502577F_1294330000_482187800,,figures/background_fp/MC/03_09002200121902201121502577F_1294330000_482187800.jpg
background_fp,MC,0100220000130809123456465J3_1294620400_483057300,,figures/background_fp/MC/04_0100220000130809123456465J3_1294620400_483057300.jpg
background_fp,MC,09002200121902241344029902K_1295798900_481238400,,figures/background_fp/MC/05_09002200121902241344029902K_1295798900_481238400.jpg
background_fp,MC,09002200121904111400165542L_1296718100_482445500,,figures/background_fp/MC/06_09002200121904111400165542L_1296718100_482445500.jpg
background_fp,MC,01002200001307241711370775B_1294021900_485093000,,figures/background_fp/MC/07_01002200001307241711370775B_1294021900_485093000.jpg
background_fp,MC,0100220000130902152214476J3_1294917100_483601100,,figures/background_fp/MC/08_0100220000130902152214476J3_1294917100_483601100.jpg
background_fp,LP,09002200121902241146227948O_1295953400_484358400,,figures/background_fp/LP/01_09002200121902241146227948O_1295953400_484358400.jpg
background_fp,LP,0100220000130817151519871J3_1295229600_483712200,,figures/background_fp/LP/02_0100220000130817151519871J3_1295229600_483712200.jpg
background_fp,LP,09002200121903050943334566D_1294818700_480592300,,figures/background_fp/LP/03_09002200121903050943334566D_1294818700_480592300.jpg
background_fp,LP,0900220012200316145802693HJ_1294185900_482977800,,figures/background_fp/LP/04_0900220012200316145802693HJ_1294185900_482977800.jpg
background_fp,LP,09002200001504160308367446P_1294457000_482831600,,figures/background_fp/LP/05_09002200001504160308367446P_1294457000_482831600.jpg
background_fp,LP,09002200121901201422113572L_1295473300_483138900,,figures/background_fp/LP/06_09002200121901201422113572L_1295473300_483138900.jpg
background_fp,LP,0900220012200316141814737HJ_1294208600_482488900,,figures/background_fp/LP/07_0900220012200316141814737HJ_1294208600_482488900.jpg
background_fp,LP,0900220012200313103344182HG_1294923000_482280700,,figures/background_fp/LP/08_0900220012200313103344182HG_1294923000_482280700.jpg
background_fp,TP,09002200121707081420434872I_1294446100_482250000,,figures/background_fp/TP/01_09002200121707081420434872I_1294446100_482250000.jpg
background_fp,TP,09002200121901201534112552L_1295814800_482057000,,figures/background_fp/TP/02_09002200121901201534112552L_1295814800_482057000.jpg
background_fp,TP,09002200121901201646598192K_1295788400_483362100,,figures/background_fp/TP/03_09002200121901201646598192K_1295788400_483362100.jpg
background_fp,TP,09002200121901201350102202L_1295295500_482429600,,figures/background_fp/TP/04_09002200121901201350102202L_1295295500_482429600.jpg
background_fp,TP,09002200121901201350102202L_1295295500_482429600,,figures/background_fp/TP/05_09002200121901201350102202L_1295295500_482429600.jpg
background_fp,TP,09002200121901251654002612Q_1296148500_482448100,,figures/background_fp/TP/06_09002200121901251654002612Q_1296148500_482448100.jpg
background_fp,TP,09002200121902241146227948O_1295953400_484358400,,figures/background_fp/TP/07_09002200121902241146227948O_1295953400_484358400.jpg
background_fp,TP,0900220012200311135302616HJ_1296888100_483825800,,figures/background_fp/TP/08_0900220012200311135302616HJ_1296888100_483825800.jpg
